"","cdata2.year","cdata2.area1","cdata2.street","cdata2.street22"
"5073",2012,"A","Dunstall Road"," "
"5074",2012,"A","Fenns Crescent Pensnett"," "
"5075",2012,"A","Fold Street City Centre"," "
"5076",2012,"A","Frederick Street"," "
"5077",2012,"Wolverhampton","Front Office Wolverhampton Police Station"," "
"5078",2012,"Wolverhampton","Fryer Street Wolverhampton City Centre"," "
"5079",2012,"Wolverhampton","Fryer Street Wolverhampton City Centre"," "
"5080",2012,"A","Glebe Street"," "
"5081",2012,"A","Graisley Lane Wednesfield"," "
"5082",2012,"A","Guy Avenue"," "
"5083",2012,"A","High Holborn Sedgley"," "
"5084",2012,"A","High St Wednesfield"," "
"5085",2012,"A","High Street Stourbridge"," "
"5086",2012,"A","High Street Stourbridge"," "
"5087",2012,"A","High Street Stourbridge"," "
"5088",2012,"A","High Street Stourbridge"," "
"5089",2012,"A","High Street Stourbridge"," "
"5090",2012,"A","Jeremy Road Goldthorn Park Wolverhampoton"," "
"5091",2012,"A","Keates Road Willenhall"," "
"5092",2012,"A","Kimberley Street"," "
"5093",2012,"Wolverhampton","Lawn Road In The Street Wolverhampton"," "
"5094",2012,"A","Leasowes Drive"," "
"5095",2012,"A","Lewisham Road Fordhouses"," "
"5096",2012,"A","Lichfield Road"," "
"5097",2012,"A","Lichfield St Wolves"," "
"5098",2012,"A","Lichfield Street"," "
"5099",2012,"A","Lichfield Street"," "
"5100",2012,"A","Lichfield Street"," "
"5101",2012,"A","Lichfield Street"," "
"5102",2012,"A","Lichfield Street"," "
"5103",2012,"A","Lichfield Street"," "
"5104",2012,"A","Lichfield Street"," "
"5105",2012,"Wolverhampton","Lichfield Street Wolverhampton"," "
"5106",2012,"Wolverhampton","Lichfield Street Wolverhampton"," "
"5107",2012,"A","Lichfield Street"," "
"5108",2012,"A","Lichfields St"," "
"5109",2012,"A","Lichfiled St Wolves City Centre"," "
"5110",2012,"A","Lichwood Road"," "
"5111",2012,"A","Lunt Road Bilston"," "
"5112",2012,"A","Manders Bar"," "
"5113",2012,"A","Market St"," "
"5114",2012,"A","Market Street"," "
"5115",2012,"A","Market Street"," "
"5116",2012,"A","Market Street"," "
"5117",2012,"A","Market Street"," "
"5118",2012,"A","Market Street"," "
"5119",2012,"A","Market Street"," "
"5120",2012,"A","Market Street"," "
"5121",2012,"A","Market Street"," "
"5122",2012,"A","Market Street"," "
"5123",2012,"A","Market Street"," "
"5124",2012,"A","Market Street"," "
"5125",2012,"A","Market Street"," "
"5126",2012,"A","Market Street"," "
"5127",2012,"A","Market Street"," "
"5128",2012,"A","Market Street"," "
"5129",2012,"A","Market Street"," "
"5130",2012,"A","Market Street"," "
"5131",2012,"A","Market Street"," "
"5132",2012,"A","Market Street"," "
"5133",2012,"A","Market Street"," "
"5134",2012,"A","Market Street"," "
"5135",2012,"Wolverhampton","Market Street Wolverhampton"," "
"5136",2012,"Wolverhampton","Market Street Wolverhampton"," "
"5137",2012,"Wolverhampton","Market Street Wolverhampton"," "
"5138",2012,"A","Market Street Wolves"," "
"5139",2012,"A","Merridale St"," "
"5140",2012,"A","Milcroft Bilston"," "
"5141",2012,"A","Molineux Stadium"," "
"5142",2012,"A","Moon Under The Water"," "
"5143",2012,"A","Mount Rd Lanesfield"," "
"5144",2012,"A","Neve Avenue"," "
"5145",2012,"A","New Cross Hospital"," "
"5146",2012,"A","New Cross Hospital Wednesfield"," "
"5147",2012,"A","New Road Stourbridge"," "
"5148",2012,"A","Newhampton Rd W Ton"," "
"5149",2012,"A","Newhampton Rd W Ton"," "
"5150",2012,"Wolverhampton","Newhampton Road West Wolverhampton"," "
"5151",2012,"Wolverhampton","North St Wolverhampton"," "
"5152",2012,"Wolverhampton","North St Wolverhampton"," "
"5153",2012,"Wolverhampton","North St Wolverhampton"," "
"5154",2012,"Wolverhampton","North St Wolverhampton"," "
"5155",2012,"A","North Street"," "
"5156",2012,"A","North Street"," "
"5157",2012,"A","North Street"," "
"5158",2012,"Wolverhampton","North Street Wolverhampton"," "
"5159",2012,"Wolverhampton","North Street Wolverhampton"," "
"5160",2012,"Wolverhampton","North Street Wolverhampton"," "
"5161",2012,"Wolverhampton","O S Dilshad Restaraunt Berry Street Wolverhampton"," "
"5162",2012,"A","O S Elizabeth Arms"," "
"5163",2012,"A","O S Home Address"," "
"5164",2012,"A","O S The Hop Pole Public House"," "
"5165",2012,"Wolverhampton","O S Walkabout Queen Street Wolverhampton"," "
"5166",2012,"A","O S Yates Queens Square W Ton"," "
"5167",2012,"Wolverhampton","Oak Street Merridale Wolverhampton"," "
"5168",2012,"Wolverhampton","Outdoor Market Salop St Wolverhampton"," "
"5169",2012,"Wolverhampton","Outside Gorgeous Bar School Street Wolverhampton"," "
"5170",2012,"A","Outside Home Address"," "
"5171",2012,"A","Outside Home Address"," "
"5172",2012,"A","Outside Home Address"," "
"5173",2012,"A","Outside Home Address"," "
"5174",2012,"A","Outside Home Address"," "
"5175",2012,"A","Outside Home Address"," "
"5176",2012,"A","Outside Planet Nightclub"," "
"5177",2012,"Wolverhampton","Outside Wolverhampton Central P S"," "
"5178",2012,"A","Owen Road"," "
"5179",2012,"A","Park Road East"," "
"5180",2012,"Wolverhampton","Park Road East Whitmore Reans Wolverhampton"," "
"5181",2012,"A","Pipers Row"," "
"5182",2012,"A","Pipers Row"," "
"5183",2012,"A","Pipers Row"," "
"5184",2012,"A","Pipers Row"," "
"5185",2012,"A","Pipers Row"," "
"5186",2012,"A","Pitt Street"," "
"5187",2012,"Wolverhampton","Platform 1 Wolverhampton Railway Station"," "
"5188",2012,"Wolverhampton","Priestfield Tram Stop Wolverhampton"," "
"5189",2012,"Wolverhampton","Priestfield Tram Stop Wolverhampton"," "
"5190",2012,"A","Princes Street"," "
